Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean,CRR
2230,1.256282488,1.256282488,1.256282488,1.256282488,1.256282488,1.256282488,125.6282488
2200,1.340221128,1.340221128,1.340221128,1.340221128,1.340221128,1.340221128,134.0221128
2170,1.343682836,1.343682836,1.343682836,1.343682836,1.343682836,1.343682836,134.3682836
2140,1.364500018,1.364500018,1.364500018,1.364500018,1.364500018,1.364500018,136.4500018
2110,1.38121593,1.38121593,1.38121593,1.38121593,1.38121593,1.38121593,138.121593
2080,1.325771533,1.325771533,1.325771533,1.325771533,1.325771533,1.325771533,132.5771533
2050,1.278485367,1.278485367,1.278485367,1.278485367,1.278485367,1.278485367,127.8485367
2020,1.306345996,1.306345996,1.306345996,1.306345996,1.306345996,1.306345996,130.6345996
1990,1.223438821,1.223438821,1.223438821,1.223438821,1.223438821,1.223438821,122.3438821
1960,1.232438839,1.232438839,1.232438839,1.232438839,1.232438839,1.232438839,123.2438839
1930,1.281497562,1.281497562,1.281497562,1.281497562,1.281497562,1.281497562,128.1497562
1900,1.271465,1.271465,1.271465,1.271465,1.271465,1.271465,127.1465
1870,1.285684234,1.285684234,1.285684234,1.285684234,1.285684234,1.285684234,128.5684234
1840,1.327767355,1.327767355,1.327767355,1.327767355,1.327767355,1.327767355,132.7767355
1810,1.2875546,1.2875546,1.2875546,1.2875546,1.2875546,1.2875546,128.75546
1780,1.360472378,1.360472378,1.360472378,1.360472378,1.360472378,1.360472378,136.0472378
1750,1.354166154,1.354166154,1.354166154,1.354166154,1.354166154,1.354166154,135.4166154
1720,1.34322685,1.34322685,1.34322685,1.34322685,1.34322685,1.34322685,134.322685
1690,1.341584794,1.341584794,1.341584794,1.341584794,1.341584794,1.341584794,134.1584794
1660,1.274658392,1.274658392,1.274658392,1.274658392,1.274658392,1.274658392,127.4658392
1630,1.290685237,1.290685237,1.290685237,1.290685237,1.290685237,1.290685237,129.0685237
1600,1.267572533,1.267572533,1.267572533,1.267572533,1.267572533,1.267572533,126.7572533
1570,1.330482477,1.330482477,1.330482477,1.330482477,1.330482477,1.330482477,133.0482477
1540,1.333064278,1.333064278,1.333064278,1.333064278,1.333064278,1.333064278,133.3064278
1510,1.340475571,1.340475571,1.340475571,1.340475571,1.340475571,1.340475571,134.0475571
1480,1.389969011,1.389969011,1.389969011,1.389969011,1.389969011,1.389969011,138.9969011
1450,1.386057804,1.386057804,1.386057804,1.386057804,1.386057804,1.386057804,138.6057804
1420,1.314662072,1.314662072,1.314662072,1.314662072,1.314662072,1.314662072,131.4662072
1390,1.312862258,1.312862258,1.312862258,1.312862258,1.312862258,1.312862258,131.2862258
1360,1.283912123,1.283912123,1.283912123,1.283912123,1.283912123,1.283912123,128.3912123
1330,1.305093211,1.305093211,1.305093211,1.305093211,1.305093211,1.305093211,130.5093211
1300,1.268308646,1.268308646,1.268308646,1.268308646,1.268308646,1.268308646,126.8308646
1270,1.314347289,1.314347289,1.314347289,1.314347289,1.314347289,1.314347289,131.4347289
1240,1.33121698,1.33121698,1.33121698,1.33121698,1.33121698,1.33121698,133.121698
1210,1.299334761,1.299334761,1.299334761,1.299334761,1.299334761,1.299334761,129.9334761
1180,1.261663577,1.261663577,1.261663577,1.261663577,1.261663577,1.261663577,126.1663577
1150,1.319982863,1.319982863,1.319982863,1.319982863,1.319982863,1.319982863,131.9982863
1120,1.322075791,1.322075791,1.322075791,1.322075791,1.322075791,1.322075791,132.2075791
1090,1.320845357,1.320845357,1.320845357,1.320845357,1.320845357,1.320845357,132.0845357
1060,1.268247819,1.268247819,1.268247819,1.268247819,1.268247819,1.268247819,126.8247819
1030,1.271835046,1.271835046,1.271835046,1.271835046,1.271835046,1.271835046,127.1835046
1000,1.345819655,1.345819655,1.345819655,1.345819655,1.345819655,1.345819655,134.5819655
970,1.314123109,1.314123109,1.314123109,1.314123109,1.314123109,1.314123109,131.4123109
940,1.278174312,1.278174312,1.278174312,1.278174312,1.278174312,1.278174312,127.8174312
910,1.32891696,1.32891696,1.32891696,1.32891696,1.32891696,1.32891696,132.891696
880,1.324211602,1.324211602,1.324211602,1.324211602,1.324211602,1.324211602,132.4211602
850,1.259558418,1.259558418,1.259558418,1.259558418,1.259558418,1.259558418,125.9558418
820,1.31282883,1.31282883,1.31282883,1.31282883,1.31282883,1.31282883,131.282883
790,1.317926204,1.317926204,1.317926204,1.317926204,1.317926204,1.317926204,131.7926204
760,1.306366598,1.306366598,1.306366598,1.306366598,1.306366598,1.306366598,130.6366598
730,1.378573062,1.378573062,1.378573062,1.378573062,1.378573062,1.378573062,137.8573062
700,1.392797182,1.392797182,1.392797182,1.392797182,1.392797182,1.392797182,139.2797182
670,1.296456934,1.296456934,1.296456934,1.296456934,1.296456934,1.296456934,129.6456934
640,1.221551919,1.221551919,1.221551919,1.221551919,1.221551919,1.221551919,122.1551919
610,1.304114133,1.304114133,1.304114133,1.304114133,1.304114133,1.304114133,130.4114133
580,1.378839019,1.378839019,1.378839019,1.378839019,1.378839019,1.378839019,137.8839019
550,1.395905206,1.395905206,1.395905206,1.395905206,1.395905206,1.395905206,139.5905206
520,1.253963166,1.253963166,1.253963166,1.253963166,1.253963166,1.253963166,125.3963166
490,1.243455386,1.243455386,1.243455386,1.243455386,1.243455386,1.243455386,124.3455386
460,1.23487763,1.23487763,1.23487763,1.23487763,1.23487763,1.23487763,123.487763
430,1.274348455,1.274348455,1.274348455,1.274348455,1.274348455,1.274348455,127.4348455
400,1.249914611,1.249914611,1.249914611,1.249914611,1.249914611,1.249914611,124.9914611
370,1.293869661,1.293869661,1.293869661,1.293869661,1.293869661,1.293869661,129.3869661
340,1.335161427,1.335161427,1.335161427,1.335161427,1.335161427,1.335161427,133.5161427
310,1.317178833,1.317178833,1.317178833,1.317178833,1.317178833,1.317178833,131.7178833
280,1.302093438,1.302093438,1.302093438,1.302093438,1.302093438,1.302093438,130.2093438
250,1.325120271,1.325120271,1.325120271,1.325120271,1.325120271,1.325120271,132.5120271
220,1.296158604,1.296158604,1.296158604,1.296158604,1.296158604,1.296158604,129.6158604
190,1.30474274,1.30474274,1.30474274,1.30474274,1.30474274,1.30474274,130.474274
